Polish NLP Datasets Information Table,,,,,,,,
Dataset Name,Release Year,Data Scale (Samples/Tokens),Language Type,Data Source,Construction Method,Covered NLP Tasks,Existing Limitations/Shortcomings,Uncovered Scenarios
Leyzer,2021,2M+ tokens,Polish (Historical Text),16th-19th century religious and literary works,Manual screening of historical texts + morphosyntactic annotation,"Named Entity Recognition (NER), Historical Text Analysis, Part-of-Speech Tagging","1. Only covers historical texts, lacks modern Polish scenarios; 2. Annotations focus on morphosyntax, no sentiment/semantic similarity labels","1. Modern Polish daily conversation data; 2. Multimodal historical texts (e.g., image-text combined ancient books)"
KGr10,2012,"10,000 documents",Polish (Modern Standard),"News reports, academic articles, blogs",Manual collection of multi-domain texts + manual topic annotation,"Text Classification, Topic Modeling, Domain Adaptation","1. Data released in 2012, does not cover Polish language changes in the past 10 years; 2. Only supports 10 fixed topics, lacks emerging domains (e.g., AI, metaverse)","1. Real-time dynamic topic texts (e.g., social media hotspots); 2. Low-resource topics (e.g., niche culture, local industries)"
PSC (Polish Sentiment Corpus),2019,"5,000 samples",Polish (Modern Standard),"E-commerce reviews, forum posts, social media",Crawler-based collection of user-generated content + manual sentiment annotation,"Sentiment Analysis (binary: positive/negative), Emotion Classification (5 basic emotions)","1. Small sample size (only 5k), limited generalization ability; 2. Only ""positive/negative"" and basic emotions, no fine-grained emotions (e.g., ""surprise"", ""disappointment"")","1. Professional domain sentiment texts (e.g., medical/financial reviews); 2. Cross-lingual sentiment alignment (e.g., Polish-English bilingual sentiment texts)"
ParCor,2018,"3,000 sentence pairs",Polish (Modern Standard),"News headlines, encyclopedia entries, official documents",Manual construction + sentence pair screening + semantic similarity annotation,"Paraphrase Detection, Semantic Similarity Calculation","1. Sentence pairs limited to ""formal texts"", lack of colloquial sentence pairs; 2. No semantic annotation for complex sentence structures (e.g., long difficult sentences, ambiguous sentences)","1. Colloquial paraphrase texts (e.g., dialogues, interviews); 2. Paraphrase data in low-resource scenarios (e.g., child Polish, dialect paraphrases)"
PolEmo2.0,2020,"10,000 samples",Polish (Modern Standard),"Product reviews (home appliances, books), movie reviews",Crawler-based collection of review data + manual multi-dimensional sentiment annotation,"Sentiment Analysis (4-class: positive/negative/neutral/mixed), Emotion Recognition (6 emotions)","1. Only covers ""product + movie"" reviews, no service-related (e.g., catering, tourism) sentiment data; 2. No emotion intensity annotation (e.g., ""mild negative"", ""extremely positive"")","1. Cross-modal sentiment data (e.g., Polish reviews with emojis/images); 2. Sentiment texts for specific groups (e.g., elderly/teen Polish reviews)"
NKJP (National Corpus of Polish),2010,1B+ tokens,Polish (Modern Standard),"Books, newspapers, journals, spoken audio transcriptions",Multi-channel text collection + automatic deduplication + manual proofreading,"Part-of-Speech Tagging, Syntactic Analysis, Corpus Linguistics Research","1. Low proportion of spoken data (only 5%), insufficient coverage of daily conversation scenarios; 2. No real-time update mechanism, lacks new words (e.g., internet buzzwords) in the past 10 years","1. Real-time social media corpora (e.g., Twitter/Instagram Polish); 2. Colloquial dialect corpora (e.g., Silesian dialect, Mazovian dialect)"
CCL-PL (Corpus of Contemporary Polish),2015,50M+ tokens,Polish (Modern Standard),"Modern books, news, official reports",Publisher-authorized texts + manual screening + format standardization,"Text Generation, Language Model Pre-training, Syntactic Analysis","1. Single text type (mainly written language), no interactive texts (e.g., chatbot dialogues); 2. No domain-specific annotation, high difficulty in cross-domain adaptation","1. Low-resource domain texts (e.g., agricultural/mechanical professional Polish); 2. Multi-turn dialogue data (e.g., customer service, education dialogues)"
SUD-PL (Stanford Universal Dependencies for Polish),2017,10k+ sentences,Polish (Modern Standard),"News, novels, encyclopedia entries",Manual selection of typical sentences + Universal Dependencies syntactic annotation,"Dependency Parsing, Syntactic Structure Recognition, Grammatical Error Correction","1. Small number of sentences, insufficient coverage of complex syntactic structures (e.g., nested clauses); 2. No erroneous syntactic samples, poor adaptability for grammatical error correction tasks","1. Colloquial syntactic data (e.g., non-standard syntax in daily conversations); 2. Syntactic data in low-resource scenarios (e.g., child Polish syntax)"
PolEval 2017,2017,10k+ tokens,Polish (Modern Standard),"Public Polish texts (news, novels)",Manual annotation + morphological/syntactic analysis,"Word Sense Disambiguation, Metaphor Detection, Part-of-Speech Tagging","1. No follow-up updates after 2017, lacks modern network text data; 2. Small sample size for metaphor detection, coarse annotation granularity",1. Updated Polish word sense disambiguation dataset; 2. Polish network text (with buzzwords) corpus
plWordNet,2021,285k word senses / 600k+ semantic relations,Polish (Modern Standard),Polish vocabulary database + semantic network construction,Manual construction + semantic relation annotation,"Word Sense Disambiguation, Lexical Semantics, Natural Language Understanding","1. No real-time update mechanism, lacks new words/internet buzzwords; 2. No fine-grained multilingual semantic alignment annotation",1. Real-time updated Polish lexical semantic network; 2. Polish-Chinese bilingual lexical semantic alignment dataset
Emotion Meanings,2015,"6,000 Polish word senses + emotion labels",Polish (Modern Standard),plWordNet vocabulary database,Extracted from plWordNet + emotion dimension annotation,"Emotion Analysis, Affective Computing, Word Sense Emotion Annotation","1. Limited vocabulary coverage (only based on plWordNet); 2. Single emotion annotation dimension, no fine-grained emotion classification",1. Context-aware Polish word sense emotion annotation dataset; 2. Polish dialect vocabulary emotion annotation data
POLEMAD,2021,Multimodal pronunciation data (speech/text/video),Polish (Multimodal: Speech+Text+Video),Multi-speaker pronunciation collection + EMA recording,Synchronized electromagnetic articulography recording + multi-channel audio/video collection,"Automatic Speech Recognition, Multimodal Understanding, Language Acquisition Analysis","1. No publicly accessible download link, difficult to obtain data; 2. Unclear number of speakers, limited coverage",1. Publicly accessible Polish multimodal pronunciation dataset; 2. Polish dialect multimodal pronunciation database
PAC (Polish Amazon Corpus),2020,10k+ e-commerce user reviews,Polish (Modern Standard),Allegro e-commerce platform user reviews,Crawler-based collection + sentiment annotation,"Sentiment Analysis, Text Classification","1. Only covers e-commerce domain, lacks general domain sentiment data; 2. No fine-grained emotion annotation (only positive/negative)",1. Polish multi-domain (medical/education/tourism) sentiment dataset; 2. Polish cross-platform review integration dataset
MAUPQA,2023,Annotated open-domain QA corpus (train/val/test splits),Polish (Modern Standard),Public Polish texts,Native speaker manual annotation + data hierarchical division,"Open-domain Question Answering, Information Retrieval, Dense Retrieval Evaluation",1. No low-resource few-shot QA scenario data; 2. No professional domain (medical/legal) QA data,1. Polish low-resource few-shot QA corpus; 2. Polish multi-turn conversational QA data
MFAQ (Multilingual FAQ Dataset),2021,~6M FAQ pairs (21 languages),Polish (Multilingual Subset),Web-crawled FAQ pages,Unsupervised crawling + data cleaning,"Information Retrieval, Semantic Similarity Calculation, Cross-lingual Transfer","1. No human annotation, uneven data quality; 2. Low proportion of Polish subset, no separate statistics",1. Human-annotated Polish professional domain FAQ dataset; 2. Polish colloquial FAQ corpus
